Category,SubCategory,Latitude,Longitude,POIName
amenity,cafe,2.924346,101.639315,Poolside Cafe
amenity,community_centre,2.932361,101.647073,Dewan Masjid Raja Haji Fisabilillah
amenity,kindergarten,2.918134,101.63863,SK Cyberjaya
amenity,parking,2.90738,101.65584,Cyberview Solar Farm Car Park
amenity,parking,2.930377,101.641317,Faculty of management (FOM) Staff Car Park @ MMU Cyberjaya
amenity,parking,2.930393,101.641363,Faculty of management (FOM) Staff Car Park @ MMU Cyberjaya
amenity,parking,2.928289,101.64091,FCI Parking
amenity,parking,2.928292,101.640774,FIT Parking
amenity,parking,2.924379,101.64565,Hostel Parking
amenity,parking,2.925514,101.645384,Hostel Parking
amenity,parking,2.924766,101.643161,Hostel Parking
amenity,parking,2.925176,101.645807,Hostel Parking
amenity,parking,2.925427,101.641169,Multimedia University Parking
amenity,parking,2.918913,101.639491,Parking
amenity,parking,2.918943,101.639407,Parking Area
amenity,parking,2.927529,101.640152,University Parking
amenity,parking,2.925997,101.643795,
amenity,place_of_worship,2.932377,101.647066,Dewan Masjid Raja Haji Fisabilillah
amenity,place_of_worship,2.918945,101.638927,Surau Smk cyberjaya
amenity,restaurant,2.920744,101.650925,Al-Qasr Restaurant
amenity,restaurant,2.926849,101.651015,Culinary Pleasure International Restaurant & Luxury Catering
amenity,restaurant,2.915291,101.650597,Hammurabi Restaurant
amenity,restaurant,2.917096,101.649808,Istanbul Kabab
amenity,restaurant,2.917854,101.649467,Julio's Lounge
amenity,restaurant,2.91528,101.650824,Restoran Al-Nazmaju
amenity,restaurant,2.924919,101.651027,Restoran Makang
amenity,restaurant,2.923005,101.651451,Saba Restaurant Cyberjaya
amenity,restaurant,2.926038,101.65153,Salam Noodles
amenity,restaurant,2.924086,101.656297,TOKYO LUNCH
amenity,restaurant,2.924871,101.651014,Traskun Restaurant
amenity,restaurant,2.918541,101.631394,ULAM dan SUP
amenity,school,2.926153,101.6303," SJK (C) Union, Cyberjaya "
amenity,university,2.935897,101.655374,Universiti Islam Malaysia
office,company,2.921199,101.657462,Dell Asia Pacific Sdn. Bhd.
office,company,2.907782,101.648272,DXC Global Center - IT/Finance Building
office,company,2.924318,101.654466,IBM Client Innovation Centre Malaysia Sdn Bhd
office,company,2.914651,101.657766,Tech Mahindra ICT Services ( Malaysia ) SDN. BHD.
shop,convenience,2.915794,101.650276,7 Eleven
shop,convenience,2.924395,101.637261,7-Eleven
shop,supermarket,2.923315,101.662815,KK Super Mart Cyberjaya Shaftsbury Square SSQ
shop,supermarket,2.919734,101.636314,Village Grocer Tamarind Square
shop,sport,2.918038,101.64944,GO! Cyberjaya Cycling & Hobby Store
office,company,2.918469,101.655356,Bank Negara Malaysia Cyberjaya
amenity,bank,2.924999,101.661917,United Overseas Bank
